title,ingr_full,quant,units,ingr,category,subcategory
baked-french-toast,1/4 cup all-purpose flour,0.25,cups,flour,other,
baked-french-toast,"1/2 cup margarine, melted",0.5,cups,margarine,fat,
baked-french-toast,1/2 cup brown sugar,0.5,cups,brown sugar,sugar,
baked-french-toast,1/2 cup skim milk,0.5,cups,skim milk,milkcream,
baked-french-toast,2 teaspoons vanilla extract,2.0,teaspoons,vanilla,flavor,spice
easy-french-toast,1 egg,1.0,,eggs,eggs,
easy-french-toast,3/4 cup milk,0.75,cups,milk,milkcream,
easy-french-toast,1 tablespoon ground cinnamon,1.0,tablespoons,cinnamon,flavor,spice
easy-french-toast,1 teaspoon vanilla extract,1.0,teaspoons,vanilla,flavor,spice
easy-french-toast,1 pinch salt,1.0,pinches,salt,flavor,spice
easy-french-toast,2 slices bread,2.0,slices,bread,bread,
baked-french-toast,"1 (1 pound) loaf french bread, cut diagonally in 1 inch slices",1.0,slices,french bread,bread,
baked-french-toast,8 eggs,8.0,,eggs,eggs,
baked-french-toast,2 cups milk,2.0,cups,milk,milkcream,
baked-french-toast,1 1/2 cups half-and-half cream,0.5,cups,half and half,milkcream,
baked-french-toast,2 teaspoons vanilla extract,2.0,teaspoons,vanilla,flavor,spice
baked-french-toast,1/4 teaspoon ground cinnamon,0.25,teaspoons,cinnamon,flavor,spice
baked-french-toast,3/4 cup butter,0.75,cups,butter,fat,
baked-french-toast,1 1/3 cups brown sugar,0.33,cups,brown sugar,sugar,
baked-french-toast,3 tablespoons light corn syrup,3.0,tablespoons,syrup,syrup,
french-toast-souffle,10 cups white bread cubes,10.0,cups,white bread,bread,
french-toast-souffle,"1 (8 ounce) package lowfat cream cheese, softened",8.0,ounces,cream cheese,dairy,cheese
french-toast-souffle,8 eggs,8.0,,eggs,eggs,
french-toast-souffle,1 1/2 cups milk,0.5,cups,milk,milkcream,
french-toast-souffle,2/3 cup half-and-half cream,0.67,cups,half and half,milkcream,
french-toast-souffle,1/2 cup maple syrup,0.5,cups,syrup,syrup,
french-toast-souffle,1/2 teaspoon vanilla extract,0.5,teaspoons,vanilla,flavor,spice
french-toast-souffle,2 tablespoons confectioners' sugar,2.0,tablespoons,confectioners sugar,sugar,
french-toast-stars,8 thick slices white bread,8.0,slices,white bread,bread,
french-toast-stars,2 eggs,2.0,,eggs,eggs,
french-toast-stars,1/4 cup heavy cream,0.25,cups,heavy cream,milkcream,
french-toast-stars,2 tablespoons honey,2.0,tablespoons,honey,flavor,
french-toast-stars,1/4 teaspoon salt,0.25,teaspoons,salt,flavor,spice
french-toast-stars,1/4 teaspoon ground cinnamon,0.25,teaspoons,cinnamon,flavor,spice
french-toast-stars,1 tablespoon grated orange zest,1.0,tablespoons,orange zest,flavor,zest
french-toast-stars,1/2 teaspoon vanilla extract,0.5,teaspoons,vanilla,flavor,spice
french-toast-stars,3 tablespoons butter,3.0,tablespoons,butter,fat,
haitian-french-toast,1 french baguette,1.0,,baguette,bread,
haitian-french-toast,1 cup orange juice,1.0,cups,orange juice,flavor,liquid
haitian-french-toast,1/2 cup heavy whipping cream,0.5,cups,heavy whipping cream,milkcream,
haitian-french-toast,2 eggs,2.0,,eggs,eggs,
haitian-french-toast,1 teaspoon ground cinnamon,1.0,teaspoons,cinnamon,flavor,spice
haitian-french-toast,1/4 cup white sugar,0.25,cups,sugar,sugar,
haitian-french-toast,1 dash ground nutmeg,1.0,dashes,nutmeg,flavor,spice
haitian-french-toast,3 tablespoons butter,3.0,tablespoons,butter,fat,
haitian-french-toast,2 tablespoons confectioners' sugar for dusting,2.0,tablespoons,confectioners sugar,sugar,
reduced-fat-french-toast,1/2 cup egg substitute,0.5,cups,egg substitute,eggs,
reduced-fat-french-toast,2/3 cup skim milk,0.67,cups,skim milk,milkcream,
reduced-fat-french-toast,1 teaspoon vanilla extract,1.0,teaspoons,vanilla,flavor,spice
reduced-fat-french-toast,1/2 teaspoon ground cinnamon,0.5,teaspoons,cinnamon,flavor,spice
reduced-fat-french-toast,6 slices reduced calorie white bread,6.0,slices,white bread,bread,
jacks-french-toast,1 egg,1.0,,eggs,eggs,
jacks-french-toast,1 cup milk,1.0,cups,milk,milkcream,
jacks-french-toast,1 teaspoon vanilla extract,1.0,teaspoons,vanilla,flavor,spice
jacks-french-toast,1 cup oil for frying,1.0,cups,oil,fat,
jacks-french-toast,4 slices bread,4.0,slices,bread,bread,
karens-baked-banana-stuffed-french-toast,"4 ripe bananas, mashed",4.0,ripe,bananas,fruit,
karens-baked-banana-stuffed-french-toast,8 slices french bread,8.0,slices,french bread,bread,
karens-baked-banana-stuffed-french-toast,1/2 cup milk,0.5,cups,milk,milkcream,
karens-baked-banana-stuffed-french-toast,2 eggs,2.0,,eggs,eggs,
karens-baked-banana-stuffed-french-toast,1 teaspoon vanilla extract,1.0,teaspoons,vanilla,flavor,spice
karens-baked-banana-stuffed-french-toast,1/2 teaspoon ground cinnamon,0.5,teaspoons,cinnamon,flavor,spice
make-ahead-french-toast,"5 eggs, lightly beaten",5.0,,eggs,eggs,
make-ahead-french-toast,1 1/2 cups milk,0.5,cups,milk,milkcream,
make-ahead-french-toast,1 cup half-and-half cream,1.0,cups,half and half,milkcream,
make-ahead-french-toast,1 teaspoon vanilla extract,1.0,teaspoons,vanilla,flavor,spice
make-ahead-french-toast,"1/2 (1 pound) loaf french bread, cut diagonally in 1 inch slices",0.5,slices,french bread,bread,
make-ahead-french-toast,"1/2 cup butter, melted",0.5,cups,butter,fat,
make-ahead-french-toast,1 cup light brown sugar,1.0,cups,brown sugar,sugar,
make-ahead-french-toast,2 tablespoons maple syrup,2.0,tablespoons,syrup,syrup,
make-ahead-french-toast,1 cup chopped pecans,1.0,cups,pecans,nut,
